URI,Label,Description,Type
https://purl.org/okn/frink/kg/spoke/schema/measurement_value,Measurement Value,The numerical result of a measurement,Predicate
https://purl.org/okn/frink/kg/spoke/schema/media,Media,"The environment where the compound exists in location, such as air, water, soil  ",Predicate
https://purl.org/okn/frink/kg/spoke/schema/mesh_ids,MeSH IDs,A list of  Medical Subject Headings terms an enviroment concept maps to,Predicate
https://purl.org/okn/frink/kg/spoke/schema/mesh_list,MeSH List,A list of Medical Subject Headings terms a disease maps to,Predicate
https://purl.org/okn/frink/kg/spoke/schema/method,Method,"Measurements or statistics used to report the SDoH prevalence in a location, such as Percentage",Predicate
https://purl.org/okn/frink/kg/spoke/schema/metric_name,Metric Name,"Measurements or statistics used to report the disease prevalence in a location, such as Percent",Predicate
https://purl.org/okn/frink/kg/spoke/schema/metrics,Metrics,"Measurements or statistics used to report the compound/environment found in a location, such as maximum concentration, total applied",Predicate
https://purl.org/okn/frink/kg/spoke/schema/mortality_per_100k,Mortality Per 100k,"mortality rate per 100,000 population",Predicate
https://purl.org/okn/frink/kg/spoke/schema/motility,Motility,Whether and how an organism can move,Predicate
https://purl.org/okn/frink/kg/spoke/schema/odds,Odds Ratio,A statistical measure of how strongly two terms co-occur,Predicate
https://purl.org/okn/frink/kg/spoke/schema/omim_list,OMIM List,A list of Online Mendelian Inheritance in Man concepts a disease map to ,Predicate
https://purl.org/okn/frink/kg/spoke/schema/oxygen_requirement,Oxygen Requirement,amount of oxygen an organism needs to survive,Predicate
https://purl.org/okn/frink/kg/spoke/schema/pathovar,Pathovar,A variant of a bacterial species that infects a specific plant host,Predicate
https://purl.org/okn/frink/kg/spoke/schema/percent_of_place_area_in_zip,Percent of Place Area in ZIP,What percentage of a place's area falls within a ZIP code,Predicate
https://purl.org/okn/frink/kg/spoke/schema/percent_of_zip_area_in_place,Percent of ZIP Area in Place,What percentage of a ZIP code's area falls within a place,Predicate
https://purl.org/okn/frink/kg/spoke/schema/phase,Phase,The stage of clinical testing for a drug,Predicate
https://purl.org/okn/frink/kg/spoke/schema/population,Population,The number of people living in an area,Predicate
https://purl.org/okn/frink/kg/spoke/schema/resistant_phenotype,Resistant Phenotype,The observable resistance characteristics of an organism,Predicate
https://purl.org/okn/frink/kg/spoke/schema/salinity,Salinity,The salt content of water or environment,Predicate
https://purl.org/okn/frink/kg/spoke/schema/serovar,Serovar,A variant of a bacterial species based on immune response characteristics,Predicate
https://purl.org/okn/frink/kg/spoke/schema/short_question_text,Short Question Text,A brief version of a survey question,Predicate
https://purl.org/okn/frink/kg/spoke/schema/smiles,SMILES,A text representation of a chemical structure,Predicate
https://purl.org/okn/frink/kg/spoke/schema/sporulation,Sporulation,Whether and how an organism forms protective spores,Predicate
https://purl.org/okn/frink/kg/spoke/schema/standardized_smiles,Standardized SMILES,A normalized text representation of a chemical structure,Predicate
https://purl.org/okn/frink/kg/spoke/schema/state,State,A state or province,Predicate
https://purl.org/okn/frink/kg/spoke/schema/state_abbr,State Abbreviation,The two-letter abbreviation for a state,Predicate
https://purl.org/okn/frink/kg/spoke/schema/state_desc,State Description,The full name of a state,Predicate
https://purl.org/okn/frink/kg/spoke/schema/state_fips,State FIPS Code,two-digit number uniquely identify a state,Predicate
https://purl.org/okn/frink/kg/spoke/schema/state_name,State Name,The full name of a state,Predicate
https://purl.org/okn/frink/kg/spoke/schema/strain,Strain,A specific genetic variant of an organism,Predicate
https://purl.org/okn/frink/kg/spoke/schema/synonyms,Synonyms,Alternative names for the same entity,Predicate
https://purl.org/okn/frink/kg/spoke/schema/temperature_range,Temperature Range,The range of temperatures in which an organism can grow,Predicate
https://purl.org/okn/frink/kg/spoke/schema/testing_standard_year,Testing Standard Year,The year of the testing standards used,Predicate
https://purl.org/okn/frink/kg/spoke/schema/topic,Topic,The topic of the social determinant of health concept,Predicate
https://purl.org/okn/frink/kg/spoke/schema/total_population,Total Population,The total number of people in an area,Predicate
https://purl.org/okn/frink/kg/spoke/schema/unit,Unit,"The measurement unit used to describe the values of compound/environment found in a location, such as pound, ug/L",Predicate
https://purl.org/okn/frink/kg/spoke/schema/upper,Upper Bound,The maximum value in a range,Predicate
https://purl.org/okn/frink/kg/spoke/schema/usa_isolation_country,USA Isolation Country,Whether the sample was collected in the United States,Predicate
https://purl.org/okn/frink/kg/spoke/schema/usability,Usability,How suitable or appropriate something is for use,Predicate
https://purl.org/okn/frink/kg/spoke/schema/value,Value,"The measured/estimated value of a metric, used in multiple predicates, such as compound/environment found in a location, disease/SDoH prevalence in a location, Mortality in a location",Predicate
https://purl.org/okn/frink/kg/spoke/schema/variable,Variable,"The measured SDoH concept, some with short description ",Predicate
https://purl.org/okn/frink/kg/spoke/schema/vendor,Vendor,The company or organization that supplied something,Predicate
https://purl.org/okn/frink/kg/spoke/schema/year,Year,The year the data is reported,Predicate
https://purl.org/okn/frink/kg/spoke/schema/zipcode_type,ZIP Code Type,"The type of a ZIP code, such as standard, PO BOX",Predicate
https://purl.org/okn/frink/kg/spoke/schema/SDoH,Social Determinants of Health,Social and economic factors that influence health outcomes,Class
https://schema.org/AdministrativeArea,Administrative Area,A geographic region with administrative boundaries like cities or states,Class
https://w3id.org/biolink/vocab/ChemicalEntity,Chemical Entity,A chemical substance or compound,Class
https://w3id.org/biolink/vocab/Disease,Disease,A disorder or illness that affects health,Class
https://w3id.org/biolink/vocab/EnvironmentalFeature,Environmental Feature,"An environmental entity, such as environmental quality entity ",Class
https://w3id.org/biolink/vocab/Gene,Gene,A unit of heredity that determines biological characteristics,Class
https://w3id.org/biolink/vocab/OrganismTaxon,Organism Taxon,A classification group for living organisms,Class
