URI,Label,Description
https://purl.org/okn/frink/kg/spoke-genelab/schema/factor_space_1,factor_space_1,"Primary experimental grouping for samples used the in assay, indicating whether it was exposed to Space Flight or maintained under control conditions: Ground Control, Basal Control, or Vivarium Control (string)"
https://purl.org/okn/frink/kg/spoke-genelab/schema/factor_space_2,factor_space_2,"Secondary experimental grouping for samples used in the assay, indicating whether it was exposed to Space Flight or maintained under control conditions: Ground Control, Basal Control, or Vivarium Control (string)"
https://purl.org/okn/frink/kg/spoke-genelab/schema/factors_1,factors_1,"Primary experimental factor(s) applied at the assay level (independent variables intentionally varied by the investigator); often corresponds to study-level design (e.g., Space Flight). Additional factors (e.g., dose, time point, sex, strain) may also be included. (string[])"
https://purl.org/okn/frink/kg/spoke-genelab/schema/factors_2,factors_2,"Secondary experimental factor(s) for this assay, typically the comparative group(s) in analysis connecting this assay to differential conditions (e.g., Ground Control). (string[])"
https://purl.org/okn/frink/kg/spoke-genelab/schema/flight_program,flight_program,Type of flight program (string)
https://purl.org/okn/frink/kg/spoke-genelab/schema/in_exon,in_exon,Boolean flag indicating whether the methylation region overlaps with an exon (boolean)
https://purl.org/okn/frink/kg/spoke-genelab/schema/in_intron,in_intron,Boolean flag indicating whether the methylation region overlaps with an intron (boolean)
https://purl.org/okn/frink/kg/spoke-genelab/schema/in_promoter,in_promoter,Boolean flag indicating whether the methylation region overlaps with a promoter region (boolean)
https://purl.org/okn/frink/kg/spoke-genelab/schema/log2fc,log2fc,"Log2-transformed fold change in gene expression between the experimental condition and its reference baseline. Positive values indicate up-regulation (higher transcript abundance), while negative values denote down-regulation (lower transcript abundance) relative to the control. (float)"
https://purl.org/okn/frink/kg/spoke-genelab/schema/material_1,material_1,"Biological material analyzed in the first assay group (e.g., tissue, cell type, organ) (string)"
https://purl.org/okn/frink/kg/spoke-genelab/schema/material_2,material_2,"Biological material analyzed in the second assay group (e.g., tissue, cell type, organ) (string)"
https://purl.org/okn/frink/kg/spoke-genelab/schema/material_id_1,material_id_1,"Controlled ontology identifier for the first material (e.g., UBERON code) (string)"
https://purl.org/okn/frink/kg/spoke-genelab/schema/material_id_2,material_id_2,"Controlled ontology identifier for the second material (e.g., UBERON code) (string)"
https://purl.org/okn/frink/kg/spoke-genelab/schema/material_name_1,material_name_1,"Preferred ontology-based name for the first material (e.g., UBERON term) (string)"
https://purl.org/okn/frink/kg/spoke-genelab/schema/material_name_2,material_name_2,"Preferred ontology-based name for the second material (e.g., UBERON term) (string)"
https://purl.org/okn/frink/kg/spoke-genelab/schema/measurement,measurement,"Type of data produced by the assay, describing the focus of the analysis (string)"
https://purl.org/okn/frink/kg/spoke-genelab/schema/methylation_diff,methylation_diff,Percent change in methylation in base pair range (float)
https://purl.org/okn/frink/kg/spoke-genelab/schema/organism,organism,NCBI scientific organism name (string)
https://purl.org/okn/frink/kg/spoke-genelab/schema/project_title,project_title,Title of project (string)
https://purl.org/okn/frink/kg/spoke-genelab/schema/project_type,project_type,Type of project (string)
https://purl.org/okn/frink/kg/spoke-genelab/schema/q_value,q_value,Adjusted p-value to control for false discovery rate (float)
https://purl.org/okn/frink/kg/spoke-genelab/schema/space_program,space_program,Sponsor of the mission (string)
https://purl.org/okn/frink/kg/spoke-genelab/schema/start,start,Starting base pair position (int)
https://purl.org/okn/frink/kg/spoke-genelab/schema/start_date,start_date,Start date of mission (date)
https://purl.org/okn/frink/kg/spoke-genelab/schema/symbol,symbol,Gene symbol for model organism (string)
https://purl.org/okn/frink/kg/spoke-genelab/schema/taxonomy,taxonomy,NCBI taxonomy ID (string)
https://purl.org/okn/frink/kg/spoke-genelab/schema/technology,technology,"Platform or method used to generate assay data (e.g., sequencing platform, mass spectrometry, imaging) (string)"
